
epoch 1

total loss:9.29  Triplet_Loss:1.30  CrossEntropy_Loss:6.69 
total loss:9.31  Triplet_Loss:1.33  CrossEntropy_Loss:6.66 
total loss:9.23  Triplet_Loss:1.30  CrossEntropy_Loss:6.64 
total loss:9.32  Triplet_Loss:1.31  CrossEntropy_Loss:6.71 
total loss:9.24  Triplet_Loss:1.25  CrossEntropy_Loss:6.73 
total loss:9.24  Triplet_Loss:1.29  CrossEntropy_Loss:6.66 
total loss:9.33  Triplet_Loss:1.29  CrossEntropy_Loss:6.76 
total loss:9.35  Triplet_Loss:1.30  CrossEntropy_Loss:6.75 
total loss:9.38  Triplet_Loss:1.30  CrossEntropy_Loss:6.78 
total loss:9.33  Triplet_Loss:1.31  CrossEntropy_Loss:6.71 
total loss:9.30  Triplet_Loss:1.27  CrossEntropy_Loss:6.75 
total loss:9.10  Triplet_Loss:1.26  CrossEntropy_Loss:6.58 
total loss:9.28  Triplet_Loss:1.27  CrossEntropy_Loss:6.73 
total loss:9.37  Triplet_Loss:1.27  CrossEntropy_Loss:6.83 
total loss:9.32  Triplet_Loss:1.29  CrossEntropy_Loss:6.73 
total loss:9.32  Triplet_Loss:1.28  CrossEntropy_Loss:6.77 
total loss:9.44  Triplet_Loss:1.30  CrossEntropy_Loss:6.85 
total loss:9.26  Triplet_Loss:1.28  CrossEntropy_Loss:6.70 
total loss:9.37  Triplet_Loss:1.29  CrossEntropy_Loss:6.78 
total loss:9.29  Triplet_Loss:1.25  CrossEntropy_Loss:6.79 
total loss:9.33  Triplet_Loss:1.25  CrossEntropy_Loss:6.83 
total loss:9.28  Triplet_Loss:1.29  CrossEntropy_Loss:6.71 
total loss:9.35  Triplet_Loss:1.27  CrossEntropy_Loss:6.81 
total loss:9.33  Triplet_Loss:1.26  CrossEntropy_Loss:6.82 
total loss:9.30  Triplet_Loss:1.29  CrossEntropy_Loss:6.71 
total loss:9.48  Triplet_Loss:1.27  CrossEntropy_Loss:6.95 
total loss:9.39  Triplet_Loss:1.30  CrossEntropy_Loss:6.78 
total loss:9.31  Triplet_Loss:1.28  CrossEntropy_Loss:6.74 
epoch 4

total loss:9.14  Triplet_Loss:1.25  CrossEntropy_Loss:6.64 
total loss:9.11  Triplet_Loss:1.25  CrossEntropy_Loss:6.61 
total loss:9.09  Triplet_Loss:1.26  CrossEntropy_Loss:6.57 
total loss:9.19  Triplet_Loss:1.27  CrossEntropy_Loss:6.66 
total loss:9.19  Triplet_Loss:1.30  CrossEntropy_Loss:6.60 
total loss:9.23  Triplet_Loss:1.28  CrossEntropy_Loss:6.67 
total loss:9.22  Triplet_Loss:1.26  CrossEntropy_Loss:6.70 
total loss:9.16  Triplet_Loss:1.27  CrossEntropy_Loss:6.63 
total loss:9.20  Triplet_Loss:1.26  CrossEntropy_Loss:6.68 
total loss:9.08  Triplet_Loss:1.25  CrossEntropy_Loss:6.58 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.20  Triplet_Loss:1.27  CrossEntropy_Loss:6.67 
total loss:9.24  Triplet_Loss:1.26  CrossEntropy_Loss:6.72 
total loss:9.25  Triplet_Loss:1.28  CrossEntropy_Loss:6.68 
total loss:9.30  Triplet_Loss:1.28  CrossEntropy_Loss:6.73 
total loss:9.21  Triplet_Loss:1.26  CrossEntropy_Loss:6.69 
total loss:9.17  Triplet_Loss:1.26  CrossEntropy_Loss:6.64 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.72 
total loss:9.14  Triplet_Loss:1.24  CrossEntropy_Loss:6.66 
total loss:9.16  Triplet_Loss:1.25  CrossEntropy_Loss:6.66 
total loss:9.08  Triplet_Loss:1.24  CrossEntropy_Loss:6.61 
total loss:9.25  Triplet_Loss:1.26  CrossEntropy_Loss:6.74 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.23  Triplet_Loss:1.25  CrossEntropy_Loss:6.74 
total loss:9.24  Triplet_Loss:1.28  CrossEntropy_Loss:6.67 
total loss:9.19  Triplet_Loss:1.26  CrossEntropy_Loss:6.68 
total loss:9.24  Triplet_Loss:1.28  CrossEntropy_Loss:6.67 
total loss:9.30  Triplet_Loss:1.25  CrossEntropy_Loss:6.80 
total loss:9.23  Triplet_Loss:1.24  CrossEntropy_Loss:6.74 
total loss:9.16  Triplet_Loss:1.25  CrossEntropy_Loss:6.65 
total loss:9.18  Triplet_Loss:1.24  CrossEntropy_Loss:6.70 
total loss:9.26  Triplet_Loss:1.25  CrossEntropy_Loss:6.76 
total loss:9.20  Triplet_Loss:1.25  CrossEntropy_Loss:6.69 
total loss:9.23  Triplet_Loss:1.24  CrossEntropy_Loss:6.75 
total loss:9.20  Triplet_Loss:1.24  CrossEntropy_Loss:6.71 
total loss:9.25  Triplet_Loss:1.26  CrossEntropy_Loss:6.74 
total loss:9.20  Triplet_Loss:1.24  CrossEntropy_Loss:6.71 
total loss:9.12  Triplet_Loss:1.24  CrossEntropy_Loss:6.63 
total loss:9.16  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.15  Triplet_Loss:1.23  CrossEntropy_Loss:6.69 
total loss:9.33  Triplet_Loss:1.26  CrossEntropy_Loss:6.80 
total loss:9.18  Triplet_Loss:1.24  CrossEntropy_Loss:6.69 
total loss:9.26  Triplet_Loss:1.26  CrossEntropy_Loss:6.75 
total loss:9.21  Triplet_Loss:1.23  CrossEntropy_Loss:6.76 
total loss:9.21  Triplet_Loss:1.24  CrossEntropy_Loss:6.74 
total loss:9.19  Triplet_Loss:1.23  CrossEntropy_Loss:6.72 
epoch 5

total loss:9.14  Triplet_Loss:1.23  CrossEntropy_Loss:6.68 
total loss:9.13  Triplet_Loss:1.25  CrossEntropy_Loss:6.64 
total loss:9.05  Triplet_Loss:1.21  CrossEntropy_Loss:6.62 
total loss:9.12  Triplet_Loss:1.26  CrossEntropy_Loss:6.61 
total loss:9.16  Triplet_Loss:1.25  CrossEntropy_Loss:6.66 
total loss:9.10  Triplet_Loss:1.25  CrossEntropy_Loss:6.60 
total loss:9.14  Triplet_Loss:1.24  CrossEntropy_Loss:6.66 
total loss:9.15  Triplet_Loss:1.25  CrossEntropy_Loss:6.65 
total loss:9.09  Triplet_Loss:1.24  CrossEntropy_Loss:6.61 
total loss:9.14  Triplet_Loss:1.25  CrossEntropy_Loss:6.63 
total loss:9.14  Triplet_Loss:1.26  CrossEntropy_Loss:6.63 
total loss:9.18  Triplet_Loss:1.26  CrossEntropy_Loss:6.66 
total loss:9.10  Triplet_Loss:1.20  CrossEntropy_Loss:6.69 
total loss:9.10  Triplet_Loss:1.24  CrossEntropy_Loss:6.62 
total loss:9.13  Triplet_Loss:1.23  CrossEntropy_Loss:6.67 
total loss:9.12  Triplet_Loss:1.24  CrossEntropy_Loss:6.64 
total loss:9.12  Triplet_Loss:1.24  CrossEntropy_Loss:6.64 
total loss:9.05  Triplet_Loss:1.21  CrossEntropy_Loss:6.64 
total loss:9.05  Triplet_Loss:1.22  CrossEntropy_Loss:6.60 
total loss:9.18  Triplet_Loss:1.25  CrossEntropy_Loss:6.69 
total loss:9.15  Triplet_Loss:1.25  CrossEntropy_Loss:6.65 
total loss:9.19  Triplet_Loss:1.25  CrossEntropy_Loss:6.70 
total loss:9.15  Triplet_Loss:1.22  CrossEntropy_Loss:6.71 
total loss:9.14  Triplet_Loss:1.23  CrossEntropy_Loss:6.68 
total loss:9.12  Triplet_Loss:1.24  CrossEntropy_Loss:6.64 
total loss:9.13  Triplet_Loss:1.25  CrossEntropy_Loss:6.64 
total loss:9.14  Triplet_Loss:1.22  CrossEntropy_Loss:6.70 
total loss:9.09  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.12  Triplet_Loss:1.23  CrossEntropy_Loss:6.66 
total loss:9.21  Triplet_Loss:1.24  CrossEntropy_Loss:6.72 
total loss:9.10  Triplet_Loss:1.22  CrossEntropy_Loss:6.65 
total loss:9.09  Triplet_Loss:1.22  CrossEntropy_Loss:6.65 
total loss:9.20  Triplet_Loss:1.22  CrossEntropy_Loss:6.76 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.72 
total loss:9.25  Triplet_Loss:1.23  CrossEntropy_Loss:6.79 
total loss:9.26  Triplet_Loss:1.23  CrossEntropy_Loss:6.80 
total loss:9.25  Triplet_Loss:1.25  CrossEntropy_Loss:6.75 
total loss:9.15  Triplet_Loss:1.21  CrossEntropy_Loss:6.73 
total loss:9.19  Triplet_Loss:1.24  CrossEntropy_Loss:6.71 
total loss:9.16  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.17  Triplet_Loss:1.24  CrossEntropy_Loss:6.69 
total loss:9.11  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.16  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.15  Triplet_Loss:1.22  CrossEntropy_Loss:6.72 
total loss:9.21  Triplet_Loss:1.22  CrossEntropy_Loss:6.76 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.71 
epoch 6

total loss:9.06  Triplet_Loss:1.24  CrossEntropy_Loss:6.57 
total loss:9.12  Triplet_Loss:1.24  CrossEntropy_Loss:6.64 
total loss:9.08  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.02  Triplet_Loss:1.22  CrossEntropy_Loss:6.57 
total loss:9.04  Triplet_Loss:1.23  CrossEntropy_Loss:6.58 
total loss:9.05  Triplet_Loss:1.22  CrossEntropy_Loss:6.61 
total loss:9.10  Triplet_Loss:1.24  CrossEntropy_Loss:6.62 
total loss:9.09  Triplet_Loss:1.25  CrossEntropy_Loss:6.60 
total loss:9.08  Triplet_Loss:1.23  CrossEntropy_Loss:6.62 
total loss:9.14  Triplet_Loss:1.23  CrossEntropy_Loss:6.68 
total loss:9.14  Triplet_Loss:1.22  CrossEntropy_Loss:6.69 
total loss:9.11  Triplet_Loss:1.23  CrossEntropy_Loss:6.65 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.70 
total loss:9.08  Triplet_Loss:1.23  CrossEntropy_Loss:6.62 
total loss:9.06  Triplet_Loss:1.22  CrossEntropy_Loss:6.61 
total loss:9.11  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.67 
total loss:9.10  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.08  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.69 
total loss:9.16  Triplet_Loss:1.25  CrossEntropy_Loss:6.66 
total loss:9.09  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.16  Triplet_Loss:1.22  CrossEntropy_Loss:6.72 
total loss:9.03  Triplet_Loss:1.21  CrossEntropy_Loss:6.60 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.08  Triplet_Loss:1.23  CrossEntropy_Loss:6.62 
total loss:9.19  Triplet_Loss:1.24  CrossEntropy_Loss:6.70 
total loss:9.15  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.09  Triplet_Loss:1.21  CrossEntropy_Loss:6.66 
total loss:9.22  Triplet_Loss:1.24  CrossEntropy_Loss:6.75 
total loss:9.09  Triplet_Loss:1.21  CrossEntropy_Loss:6.68 
total loss:9.07  Triplet_Loss:1.21  CrossEntropy_Loss:6.64 
total loss:9.26  Triplet_Loss:1.22  CrossEntropy_Loss:6.81 
total loss:9.17  Triplet_Loss:1.24  CrossEntropy_Loss:6.70 
total loss:9.16  Triplet_Loss:1.22  CrossEntropy_Loss:6.72 
total loss:9.11  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.15  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.15  Triplet_Loss:1.23  CrossEntropy_Loss:6.69 
total loss:9.19  Triplet_Loss:1.24  CrossEntropy_Loss:6.71 
total loss:9.14  Triplet_Loss:1.22  CrossEntropy_Loss:6.71 
total loss:9.18  Triplet_Loss:1.22  CrossEntropy_Loss:6.74 
total loss:9.12  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.16  Triplet_Loss:1.22  CrossEntropy_Loss:6.72 
total loss:9.16  Triplet_Loss:1.19  CrossEntropy_Loss:6.78 
total loss:9.17  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.69 
epoch 7

total loss:9.07  Triplet_Loss:1.22  CrossEntropy_Loss:6.64 
total loss:9.09  Triplet_Loss:1.22  CrossEntropy_Loss:6.66 
total loss:9.15  Triplet_Loss:1.23  CrossEntropy_Loss:6.70 
total loss:9.04  Triplet_Loss:1.23  CrossEntropy_Loss:6.59 
total loss:9.03  Triplet_Loss:1.21  CrossEntropy_Loss:6.60 
total loss:9.06  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.10  Triplet_Loss:1.22  CrossEntropy_Loss:6.66 
total loss:9.11  Triplet_Loss:1.24  CrossEntropy_Loss:6.63 
total loss:9.04  Triplet_Loss:1.22  CrossEntropy_Loss:6.60 
total loss:9.13  Triplet_Loss:1.23  CrossEntropy_Loss:6.66 
total loss:9.10  Triplet_Loss:1.24  CrossEntropy_Loss:6.61 
total loss:9.07  Triplet_Loss:1.22  CrossEntropy_Loss:6.62 
total loss:9.01  Triplet_Loss:1.21  CrossEntropy_Loss:6.59 
total loss:9.08  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.11  Triplet_Loss:1.24  CrossEntropy_Loss:6.62 
total loss:9.02  Triplet_Loss:1.19  CrossEntropy_Loss:6.64 
total loss:9.08  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.11  Triplet_Loss:1.23  CrossEntropy_Loss:6.66 
total loss:9.11  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.69 
